 bin,x,f(x),F(x)
1,1,3.15E-14,0
2,1.1513954,1.68E-13,0
3,1.3257114,8.45E-13,0
4,1.526418,4.02E-12,0
5,1.7575106,1.82E-11,0
6,2.0235896,7.75E-11,0
7,2.3299518,3.13E-10,0
8,2.6826958,1.20E-09,0
9,3.0888436,4.32E-09,0
10,3.5564803,1.48E-08,0
11,4.0949151,4.79E-08,0
12,4.7148664,1.47E-07,0
13,5.4286754,4.26E-07,0
14,6.2505519,1.17E-06,0
15,7.1968567,3.03E-06,0
16,8.2864277,7.46E-06,0
17,9.5409548,1.73E-05,0
18,10.985411,3.82E-05,0
19,12.648552,7.94E-05,0
20,14.563485,0.000156544,0
21,16.768329,0.000291886,0
22,19.306977,0.00051501,0.01
23,22.229965,0.000859889,0.01
24,25.595479,0.001358607,0.02
25,29.470517,0.002031282,0.03
26,33.932218,0.002873898,0.04
27,39.069399,0.003847664,0.05
28,44.984327,0.004874698,0.06
29,51.794747,0.005844172,0.08
30,59.636233,0.006630145,0.09
31,68.664885,0.007117832,0.09
32,79.060432,0.00723098,0.09
33,91.029818,0.006951385,0.09
34,104.81131,0.006323685,0.08
35,120.67926,0.005443696,0.07
36,138.94955,0.004434476,0.06
37,159.98587,0.003418341,0.04
38,184.207,0.002493522,0.03
39,212.09509,0.001721217,0.02
40,244.20531,0.001124302,0.01
41,281.17687,0.000694952,0.01
42,323.74575,0.000406492,0.01
43,372.75937,0.000224995,0
44,429.19343,0.000117847,0
45,494.17134,5.84E-05,0
46,568.9866,2.74E-05,0
47,655.12856,1.22E-05,0
48,754.31201,5.11E-06,0
49,868.51137,2.03E-06,0
50,1000,7.63E-07,0